CID;SMILES;SHBd;MLFER_S;nBase;maxsssN;MLFER_BH;minssNH;MDEN-23;MLFER_BO;MATS4e;ATSC1c;GATS4e;MATS1v;maxsCH3;MATS4m;ATSC1v;MDEO-11;AATSC1v;ETA_dEpsilon_D;MLFER_L;MATS1c;SdO;WTPT-3;ATSC4e;AATSC4s;GATS1c;GATS1e;WTPT-4;WTPT-5;C1SP3;MATS4s;AATSC4e;MDEN-22;ATSC4s;ATSC4m;AATS2i;MLFER_E;SpDiam_Dt;SHAvin;BCUTc-1h;SaaN;ETA_Beta_s;GATS6p;GATS6e;SpMin1_Bhp;MATS3s;AMR;GATS3c;JGI5;GATS1s;pIC50 AVG
11681070;COC1=CC2=C(C=C1)C=C(N2)C(=O)C3=CC4=C(N3)C=CC(=C4)O;1.427207504;2.835;0;0;1.726;0;0;1.642;-0.050368667;-0.34434167;1.052749555;0.082134402;1.607212492;-0.100490594;157.9285887;0.142857143;3.948214717;0.06171;14.326;-0.438362196;12.66871701;14.24143252;-0.360077914;-0.240049654;1.37598299;0.888053794;7.940151713;6.301280803;0;-0.153313728;-0.004286642;0.25;-20.16417093;-281.8132547;147.6656987;2.762;329.6884974;0;0.178101282;0;15;0.87270875;1.308111891;1.970773849;-0.011087883;21.8264;0.965294791;0.033685897;0.756916258;6.27572413
121453081;CN(C)CCCNC1=NC(=NC2=C1C=C(C=C2)Cl)C=CC3=CC=C(C=C3)S(=O)(=O)C;0.280741938;3.852;1;2.169030357;2.444;3.477617405;0.520020956;2.372;-0.04538794;-0.240280094;0.951626703;0.000726;2.072014924;0.016594194;2.175942526;0.5;0.03817443;0.0173;16.283;-0.424380952;23.51629383;23.01800682;-0.402373121;-0.014154622;1.479304332;0.567886967;4.760084846;12.44686072;2;-0.010286601;-0.002980542;1.190550789;-1.910873985;129.5407035;155.6946074;3.143;477.411173;1.0844439;0.222034468;9.426322614;19;0.754586089;0.803719996;2.089118204;-0.070366404;60.1999;1.166062332;0.022955247;0.787166133;6.272812169
162645913;CC1=CN=C(N=C1C2=CN(N=C2)C(C)C)NC3=CC4=C(CCN(C4)C(=O)C=CC(=O)C5=CC=CC=C5)C=C3;0.389123072;4.322;0;1.757686795;3.084;3.311772245;1.601307838;3.04;-0.144112836;-0.362977024;1.347300202;-0.004273395;2.085247973;-0.097655879;-15.45392861;0.2;-0.214637897;0.01291;20.713;-0.522837202;25.14461871;24.40072813;-1.32952654;-0.166774798;1.536328649;0.666705189;5.109603919;19.29112421;5;-0.144581702;-0.007554128;1.853144012;-29.35236448;-574.5655389;154.272157;4.071;698.8476865;0;0.226531959;13.65268632;24.5;0.793396277;1.1735515;2.047818193;-0.016556637;63.7275;1.216029243;0.024923747;0.568299141;6.271646218
5162557;CC1=C(C=C(C=C1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)C;0.909360961;2.762;0;0;1.151;3.022493176;0;1.189;0.140103022;-0.338395781;0.863106253;0.089777794;2.024088821;-0.035731978;214.6941092;0.166666667;4.770980205;0.0592;14.528;-0.647592091;24.45271472;13.70911558;0.903857398;-0.087306566;1.623486414;0.69592314;5.010379186;5.534693969;2;-0.050997296;0.00836905;0;-9.429109161;-183.1461413;149.3409155;2.175;305.0879425;0;0.209920487;0;13.75;0.841188635;1.764207906;1.975835984;0.005061303;48.8211;1.08512714;0.03014881;0.619784407;6.26760624
164615194;CS(=O)(=O)C1=CC=C(C=C1)C2=CC3=NC=C(N3C=C2)C4=CC=C(S4)C5=CC=NC=C5;0;4.383;0;0;2.707;0;0.5;2.547;-0.108923583;-0.171093333;0.946994013;0.024715069;1.368249115;-0.202601448;64.42150371;0.5;1.263166739;0;18.755;-0.402686243;23.64997117;20.91587748;-0.675355291;-0.103736282;1.345521736;0.489781402;4.762697503;9.728118157;0;-0.067630612;-0.006311732;0.111111111;-11.09978213;-1166.714231;146.0238276;4.216;495.6990179;0;0.222022912;8.752592486;19.25;0.811195652;0.637409854;2.11239734;-0.101738168;25.0298;1.061652775;0.027882883;0.745394168;6.26760624
164625898;CS(=O)(=O)C1=CC=C(C=C1)C2=CC3=NC=C(N3C=C2)C4=CC=C(S4)C5=CC=CC=C5C(F)(F)F;0;4.056;0;0;2.273;0;0.5;2.147;-0.110390566;-0.320240543;0.945209684;0.032800357;1.319677218;-0.154423284;87.54197576;0.5;1.591672286;0;18.486;-0.506384335;23.68002205;25.07850817;-1.822423606;-0.221761757;1.623098826;0.479092572;4.762698851;6.720787607;1;-0.062256969;-0.014937898;0;-27.05493436;-1031.883782;150.6091833;3.946;617.7865012;0;0.396589303;4.525299445;21.5;0.871881087;0.965921567;2.11240635;-0.029474815;31.4644;0.954222559;0.029519676;0.635580146;6.26760624
153521548;CN1C=C(C(=N1)C(F)(F)F)C2=NC3=C(C4=C2CCCC4)C5=C(C=C3)NN=C5;0.526287141;1.943;0;0;0.822;0;0.942809042;0.832;0.119680365;-0.16833213;0.550869518;0.032356607;1.501237932;0.111178714;69.74281774;0;1.483889739;0.02135;11.704;-0.273786269;0;22.85721107;1.794775994;0.13305054;1.479525085;0.526119112;0;15.69755251;1;0.044073084;0.016169153;1.3388659;14.76860991;463.1488694;159.2813238;2.674;531.2046194;0;0.41281555;12.46238405;18;1.173132502;1.216013494;2.16306432;0.096458808;33.8833;0.783738235;0.021255556;0.540010212;6.260427656
146676869;COC1=CC2=C(C=C1)NC(=O)C23CC3C4CCC5C(C4)NNC5C#CC6=CC=C(C=C6)CN7CCOCC7;0.830201185;2.717;1;2.43749383;1.942;3.131811677;0.265664642;2.011;-0.035953495;-0.274528913;0.736936603;0.051629911;1.684593836;-0.067004411;211.9588588;0;2.649485735;0.03678;18.098;-0.296929266;13.08295789;21.16245422;-0.45791927;-0.025139722;1.313514201;0.820010892;8.370894725;12.7915595;5;-0.033912712;-0.001999647;0.784136938;-5.756996439;-520.4339939;153.5621122;2.831;817.1259103;0;0.207912054;0;25;1.092338525;1.036978034;1.972993861;-0.004192864;94.7036;0.906968158;0.021363169;0.600912236;6.259637311
118987958;CC1CN(CC(O1)C)CC2=CC=C(C=C2)C=CC3C4CCC(CC4NN3)C5CC56C7=C(C=CC(=C7)OC)NC6=O;0.74308809;2.705;1;2.492547449;1.972;3.144367269;0.265664642;2.043;-0.058696958;-0.289784736;0.796478484;0.050067015;2.159414072;-0.066907562;226.7910171;0;2.577170649;0.03471;19.246;-0.317094256;13.11801348;21.13106425;-0.807650127;-0.016165204;1.347774241;0.821103593;8.332782439;12.79828181;5;-0.023947418;-0.003024907;0.784136938;-4.316109583;-602.1612654;153.5853385;2.897;885.1124582;0.383317398;0.207919531;0;26;0.914566597;0.877153175;1.985890311;-0.042596165;105.6276;1.094556093;0.024568452;0.667700311;6.259637311
118733897;C1=CC=C(C=C1)C2=CC3=NC=C(N3C=C2)C4=CC=C(C=C4)CC#N;0;3.288;0;0;1.889;0;0.5;1.715;-0.009319478;-0.112933432;0.880179794;0.010185453;0;-0.079659614;21.65640054;0;0.515628584;0;15.099;-0.414283819;0;9.159195325;-0.020308615;0.025969757;1.34567262;0.755626049;0;9.159195325;0;0.034362766;-0.000223;0;2.363247863;-219.1894279;145.6105283;3.147;342.7681717;0;0.13313239;4.550577365;15;0.964069379;1.423583864;2.123859837;-0.083364581;13.6458;1.024016553;0.022758621;0.474091565;6.259637311
